idx	target_name	accession	query_name	accession_c	clan_name	mdl	mdl_from	mdl_to	seq_from	seq_to	strand	trunc	pass	gc	bias	score	e-value	inc	olp	anyidx	afrct1	afrct2	winidx	wfrct1	wfrct2	description_target
1	SSU_rRNA_eukarya	RF01960	7180000113069	-	-	cm	1	1585	151	1671	+	3'	3	0.49	0	1207.7	0	!	^	-	-	-	-	-	-	Eukaryotic small subunit ribosomal RNA
2	SSU_rRNA_microsporidia	RF02542	7180000113069	-	-	cm	1	1121	151	1671	+	3'	3	0.49	0	511.1	1.90E-154	!	=	1	1	1	""""	""""	""""	Microsporidia small subunit ribosomal RNA
3	SSU_rRNA_archaea	RF01959	7180000113069	-	-	cm	1	1241	151	1671	+	3'	3	0.49	0	312	3.40E-90	!	=	1	1	1	""""	""""	""""	Archaeal small subunit ribosomal RNA
4	SSU_rRNA_bacteria	RF00177	7180000113069	-	-	cm	1	1286	146	1671	+	3'	3	0.49	0	255.8	1.10E-79	!	=	1	0.997	1	""""	""""	""""	Bacterial small subunit ribosomal RNA
1	mir-3145	RF03498	7180000116139	-	-	cm	1	84	248	165	-	no	1	0.2	7.4	36.8	6.60E-06	!	^	-	-	-	-	-	-	mir-3145 microRNA precursor family
2	mir-991	RF03641	7180000116139	-	-	cm	1	88	163	250	+	no	1	0.19	10.1	31.5	0.00011	!	^	-	-	-	-	-	-	mir-991 microRNA precursor family
3	mir-652	RF00872	7180000116139	-	-	cm	1	97	252	162	-	no	1	0.21	8.1	29.5	0.00018	!	=	1	0.923	1	""""	""""	""""	microRNA mir-652
4	mir-3145	RF03498	7180000116139	-	-	cm	1	84	172	241	+	no	1	0.21	2.3	30.3	0.00038	!	=	2	1	0.795	""""	""""	""""	mir-3145 microRNA precursor family
5	mir-652	RF00872	7180000116139	-	-	cm	1	97	161	251	+	no	1	0.21	8.1	27.1	0.00083	!	=	2	0.967	1	""""	""""	""""	microRNA mir-652
6	MIR396	RF00648	7180000116139	-	-	cm	1	118	255	157	-	no	1	0.2	11.3	25.8	0.0036	!	=	1	0.848	1	""""	""""	""""	microRNA MIR396
7	MIR396	RF00648	7180000116139	-	-	cm	1	118	158	256	+	no	1	0.2	11.7	24.7	0.0071	!	=	2	0.889	1	""""	""""	""""	microRNA MIR396
1	MIR6426	RF03872	7180000109669	-	-	cm	1	84	697	630	-	no	1	0.46	0	44.8	2.10E-06	!	^	-	-	-	-	-	-	MIR6426 microRNA precursor family
2	mir-2011	RF03687	7180000109669	-	-	cm	1	83	632	695	+	no	1	0.45	0	41	2.30E-05	!	^	-	-	-	-	-	-	mir-2011 microRNA precursor family
3	mir-592	RF00877	7180000109669	-	-	cm	1	88	2594	2523	-	no	1	0.49	0	34.3	0.00039	!	^	-	-	-	-	-	-	microRNA mir-592
4	mir-2242	RF04039	7180000109669	-	-	cm	1	95	617	710	+	no	1	0.48	0	30.8	0.0008	!	=	2	0.681	1	""""	""""	""""	mir-2242 microRNA precursor family
5	mir-2242	RF04039	7180000109669	-	-	cm	1	95	710	617	-	no	1	0.48	0	30.1	0.0013	!	=	1	0.723	1	""""	""""	""""	mir-2242 microRNA precursor family
6	mir-2068	RF03776	7180000109669	-	-	cm	1	68	691	635	-	no	1	0.46	0	30.8	0.0019	!	=	1	1	0.838	""""	""""	""""	mir-2068 microRNA precursor family
